id_produto,nome,descricao,valor_padrao,categoria,ativo
PROD-0047,"Jelco 22,,1063,INSUMOS,0.000000,R$ 0.00,R$ 4.09,,,,,,3202391,true",,0.00,outro,sim
PROD-0048,"Paco,,1020,MEDICAÃ‡ÃƒO,0.000000,,R$ 1.88,,,,,,3202391,true",,0.00,outro,sim
PROD-0049,"Tramal 50mg,,1023,MEDICAÃ‡ÃƒO,0.000000,,R$ 1.40,,,,,,3202391,true",,0.00,outro,sim
PROD-0050,"Zolpidem,,1024,MEDICAÃ‡ÃƒO,0.000000,,R$ 0.74,,,,,,3202391,true",,0.00,outro,sim
PROD-0051,"Ãgua Destilada para Autoclave,,1030,INSUMOS,0.000000,,R$ 15.90,,,,,,3202391,true",,0.00,outro,sim
PROD-0052,"LenÃ§ol para Maca,,1066,INSUMOS,0.000000,,R$ 1.17,,,,,,3202391,true",,0.00,outro,sim
PROD-0053,"Ãlcool em Gel,,1104,INSUMOS,0.000000,,R$ 0.00,,,,,,3202391,true",,0.00,outro,sim
PROD-0054,"Sabonete LÃ­quido,,1105,LIMPEZA,0.000000,,R$ 23.00,,,,,,3202391,true",,0.00,outro,sim
PROD-0055,"LenÃ§o umedecido,,1112,INSUMOS,0.000000,,R$ 9.14,,,,,,3202391,true",,0.00,outro,sim
PROD-0056,"Copo Descartavel,,1115,COPA E COZINHA,0.000000,,R$ 4.84,,,,,,3202391,true",,0.00,outro,sim
PROD-0057,"Ãgua Oxigenada,,1031,INSUMOS,0.000000,,R$ 5.99,,,,,,3202391,true",,0.00,outro,sim
PROD-0058,"Blades 1.2,,1042,INSUMOS,0.000000,,R$ 9.20,,,,,,3202391,true",,0.00,outro,sim
PROD-0059,"Tubo Coleta Citrato (azul),,1085,INSUMOS,0.000000,,R$ 1.10,,,,,,3202391,true",,0.00,outro,sim
PROD-0060,"Ãgua 500ml,,1106,COPA E COZINHA,0.000000,,R$ 1.79,,,,,,3202391,true",,0.00,outro,sim
PROD-0061,"CafÃ© em capsula,,1108,COPA E COZINHA,0.000000,,R$ 1.50,,,,,,3202391,true",,0.00,outro,sim
PROD-0062,"Elastico de silicone,,1118,INSUMOS,0.000000,,R$ 8.06,,,,,,3202391,true",,0.00,outro,sim
PROD-0063,"PinÃ§a de extraÃ§Ã£o,,1125,INSUMOS,0.000000,,R$ 340.00,,,,,,3202391,true",,0.00,outro,sim
PROD-0064,"Midazolam 15mg/3ml,,1018,MEDICAÃ‡ÃƒO,0.000000,,R$ 2.70,,,,,,3202391,true",,0.00,outro,sim
PROD-0065,"Lancetas 28g,,1065,INSUMOS,0.000000,,R$ 0.30,,,,,,3202391,true",,0.00,outro,sim
PROD-0066,"Lidocaina HCL 2ml (Meso),,1027,MEDICAÃ‡ÃƒO,0.000000,,R$ 7.00,,,,,,3202391,true",,0.00,outro,sim
PROD-0067,"Blades 1.0,,1040,INSUMOS,0.000000,,R$ 9.20,,,,,,3202391,true",,0.00,outro,sim
PROD-0068,"MÃ¡scara,,1069,INSUMOS,0.000000,,R$ 0.11,,,,,,3202391,true",,0.00,outro,sim
PROD-0069,"Dexametasona 4mg,,1007,MEDICAÃ‡ÃƒO,0.000000,,R$ 1.65,,,,,,3202391,true",,0.00,outro,sim
PROD-0070,"Minoxidil 0,5% 2ml (Meso),,1029,MEDICAÃ‡ÃƒO,0.000000,,R$ 7.00,,,,,,3202391,true",,0.00,outro,sim
PROD-0071,"Touca DescartÃ¡vel,,1084,INSUMOS,0.000000,,R$ 0.19,,,,,,3202391,true",,0.00,outro,sim
PROD-0072,"Ãlcool,,1099,LIMPEZA,0.000000,,R$ 11.50,,,,,,3202391,true",,0.00,outro,sim
PROD-0073,"Luva Esteril 7.5,,1091,INSUMOS,0.000000,,R$ 2.26,,,,40151200,,3202391,true",,0.00,outro,sim
PROD-0074,"Alprazolan 1mg,,1002,MEDICAÃ‡ÃƒO,0.000000,,R$ 1.14,,,,,,3202391,true",,0.00,outro,sim
PROD-0075,"Epinefrina,,1011,MEDICAÃ‡ÃƒO,0.000000,,R$ 1.80,,,,,,3202391,true",,0.00,outro,sim
PROD-0076,"Luva Esteril 8.0,,1092,INSUMOS,0.000000,,R$ 2.26,,,,,,3202391,true",,0.00,outro,sim
PROD-0077,"Vinagre de Ãcool,,1103,LIMPEZA,0.000000,,R$ 6.09,,,,,,3202391,true",,0.00,outro,sim
PROD-0078,"Bom Air,,1109,COPA E COZINHA,0.000000,,R$ 15.90,,,,,,3202391,true",,0.00,outro,sim
PROD-0079,"Difenidramina,,1025,MEDICAÃ‡ÃƒO,0.000000,,R$ 37.53,,,,,,3202391,true",,0.00,outro,sim
PROD-0080,"AÃ§ucar sachÃª,,1111,COPA E COZINHA,0.000000,,R$ 0.17,,,,,,3202391,true",,0.00,outro,sim
PROD-0081,"Embalagem autoclavante M (19x33),,1053,INSUMOS,0.000000,,R$ 0.78,,,,,,3202391,true",,0.00,outro,sim
PROD-0082,"Veja,,1098,LIMPEZA,0.000000,,R$ 6.82,,,,,,3202391,true",,0.00,outro,sim
PROD-0083,"PinÃ§a de implantaÃ§Ã£o,,1126,INSUMOS,0.000000,,R$ 340.00,,,,,,3202391,true",,0.00,outro,sim
